Continent;Isocode alpha-3;Pays;France ou autres pays
Afrique;UGA;Ouganda;Autres pays
Asie;UZB;Ouzbékistan;Autres pays
Asie;PAK;Pakistan;Autres pays
Océanie;PLW;Palau;Autres pays
Asie;PSE;Palestine;Autres pays
Amérique;PAN;Panama;Autres pays
Océanie;PNG;Papouasie-Nouvelle-Guinée;Autres pays
Amérique;PRY;Paraguay;Autres pays
Europe;NLD;Pays-Bas;Autres pays
Amérique;PER;Pérou;Autres pays
Asie;PHL;Philippines;Autres pays
Océanie;PCN;Pitcairn;Autres pays
Europe;POL;Pologne;Autres pays
Europe;PRT;Portugal;Autres pays
Amérique;PRI;Porto-Rico;Autres pays
Asie;QAT;Qatar;Autres pays
Afrique;CAF;République Centrafricaine;Autres pays
Afrique;DJI;République de Djibouti;Autres pays
Afrique;COD;République démocratique du Congo;Autres pays
Amérique;DOM;République dominicaine;Autres pays
Afrique;COG;République du Congo;Autres pays
Europe;CZE;République tchèque;Autres pays
Europe;ROU;Roumanie;Autres pays
Europe;GBR;Royaume-Uni;Autres pays
Asie;RUS;Russie;Autres pays
Afrique;RWA;Rwanda;Autres pays
Afrique;ESH;Sahara occidental;Autres pays
Amérique;BLM;Saint-Barthélemy;Autres pays
Afrique;SHN;Sainte-Hélène;Autres pays
Amérique;LCA;Sainte-Lucie;Autres pays
Amérique;KNA;Saint-Kitts-et-Nevis;Autres pays
Europe;SMR;Saint-Marin;Autres pays
Amérique;SXM;Saint-Martin (partie néerlandaise);Autres pays
Amérique;VCT;Saint-Vincent-et-les Grenadines;Autres pays
Amérique;SLV;Salvador;Autres pays
Océanie;WSM;Samoa;Autres pays
Océanie;ASM;Samoa américaines;Autres pays
Afrique;STP;Sao Tomé-et-Principe;Autres pays
Afrique;SEN;Sénégal;Autres pays
Europe;SRB;Serbie;Autres pays
Afrique;SYC;Seychelles;Autres pays
Afrique;SLE;Sierra Leone;Autres pays
Asie;SGP;Singapour;Autres pays
Europe;SVK;Slovaquie;Autres pays
Europe;SVN;Slovénie;Autres pays
Afrique;SOM;Somalie;Autres pays
Afrique;SDN;Soudan;Autres pays
Asie;LKA;Sri Lanka;Autres pays
Afrique;SSD;Sud-Soudan;Autres pays
Europe;SWE;Suède;Autres pays
Europe;CHE;Suisse;Autres pays
Amérique;SUR;Suriname;Autres pays
Europe;SJM;Svalbard et Jan Mayen;Autres pays
Asie;SYR;Syrie;Autres pays
Asie;TJK;Tadjikistan;Autres pays
Asie;TWN;Taiwan;Autres pays
Afrique;TZA;Tanzanie;Autres pays
Afrique;TCD;Tchad;Autres pays
Europe;CSK;Tchécoslovaquie;Autres pays
Asie;IOT;Territoire britannique de l’Océan Indien;Autres pays
Asie;THA;Thaïlande;Autres pays
Asie;TLS;Timor-Leste;Autres pays
Afrique;TGO;Togo;Autres pays
Océanie;TKL;Tokelau;Autres pays
Océanie;TON;Tonga;Autres pays
Amérique;TTO;Trinité-et-Tobago;Autres pays
Afrique;TUN;Tunisie;Autres pays
Asie;TKM;Turkménistan;Autres pays
Asie;TUR;Turquie;Autres pays
Océanie;TUV;Tuvalu;Autres pays
Europe;UKR;Ukraine;Autres pays
Amérique;URY;Uruguay;Autres pays
Océanie;VUT;Vanuatu;Autres pays
Europe;VAT;Vatican;Autres pays
Amérique;VEN;Venezuela;Autres pays
Asie;VNM;Viêt Nam;Autres pays
Asie;YEM;Yémen;Autres pays
Europe;YUG;Yougoslavie;Autres pays
Afrique;ZMB;Zambie;Autres pays
Afrique;ZWE;Zimbabwe;Autres pays
